baseline_continuity,generator.n_samples,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95
0.8,300,orientation,0.5,shape,1,100,100,32,0.32,0.0466476151587624,100,0.25999174996502217,0.1614186899144835,0.20993052371577955,0.26416709691621565,100,29.541512732481777,100.41738095577723,60.53495524827212
0.8,300,orientation,1.0,delta,1,100,100,27,0.27,0.044395945760846225,100,0.23720858719078045,0.14534464561604266,0.22132251597613836,0.2848325183319341,100,24.606072599907694,83.30475556397457,60.24295770113463
0.8,300,orientation,1.0,angle,1,100,100,69,0.69,0.04624932431938871,100,0.23720858719078045,0.14534464561604266,0.22132251597613836,0.2848325183319341,100,24.606072599907694,83.30475556397457,60.24295770113463
0.8,300,orientation,1.0,shape,1,100,100,43,0.43,0.04950757517794625,100,0.23720858719078045,0.14534464561604266,0.22132251597613836,0.2848325183319341,100,24.606072599907694,83.30475556397457,60.24295770113463
0.8,600,orientation,0.25,delta,1,100,100,32,0.32,0.0466476151587624,100,0.20220466780738683,0.13831013158597144,0.17534001553683046,0.22231228199104958,100,23.375267947268,107.47068255372363,62.531753249577065
0.8,600,orientation,0.25,angle,1,100,100,22,0.22,0.04142463035441596,100,0.20220466780738683,0.13831013158597144,0.17534001553683046,0.22231228199104958,100,23.375267947268,107.47068255372363,62.531753249577065
0.8,600,orientation,0.25,shape,1,100,100,47,0.47,0.04990991885387112,100,0.20220466780738683,0.13831013158597144,0.17534001553683046,0.22231228199104958,100,23.375267947268,107.47068255372363,62.531753249577065
0.8,600,orientation,0.5,delta,1,100,100,38,0.38,0.048538644398046386,100,0.21046608795733118,0.14563961078309268,0.18607597334715362,0.23382788228288431,100,26.66726422101069,64.56839574430796,55.88159356402822
0.8,600,orientation,0.5,angle,1,100,100,32,0.32,0.0466476151587624,100,0.21046608795733118,0.14563961078309268,0.18607597334715362,0.23382788228288431,100,26.66726422101069,64.56839574430796,55.88159356402822
0.8,600,orientation,0.5,shape,1,100,100,53,0.53,0.04990991885387112,100,0.21046608795733118,0.14563961078309268,0.18607597334715362,0.23382788228288431,100,26.66726422101069,64.56839574430796,55.88159356402822
0.8,600,orientation,1.0,delta,1,100,100,31,0.31,0.04624932431938871,100,0.22699227089994506,0.15567472743485955,0.1926414638713991,0.2693785353875558,100,21.30249166142216,37.620883012884185,54.10078736990241
0.8,600,orientation,1.0,angle,1,100,100,73,0.73,0.044395945760846225,100,0.22699227089994506,0.15567472743485955,0.1926414638713991,0.2693785353875558,100,21.30249166142216,37.620883012884185,54.10078736990241
0.8,600,orientation,1.0,shape,1,100,100,61,0.61,0.048774993593028795,100,0.22699227089994506,0.15567472743485955,0.1926414638713991,0.2693785353875558,100,21.30249166142216,37.620883012884185,54.10078736990241
0.8,1200,orientation,0.25,delta,1,100,100,30,0.3,0.0458257569495584,100,0.1774801616311513,0.133723385068876,0.1736859786811321,0.199137016563107,100,19.56668896162701,24.030343109141064,58.041101605834676
0.8,1200,orientation,0.25,angle,1,100,100,26,0.26,0.04386342439892262,100,0.1774801616311513,0.133723385068876,0.1736859786811321,0.199137016563107,100,19.56668896162701,24.030343109141064,58.041101605834676
0.8,1200,orientation,0.25,shape,1,100,100,48,0.48,0.049959983987187186,100,0.1774801616311513,0.133723385068876,0.1736859786811321,0.199137016563107,100,19.56668896162701,24.030343109141064,58.041101605834676
0.8,1200,orientation,0.5,delta,1,100,100,51,0.51,0.04998999899979995,100,0.17967218478985114,0.12066432411641298,0.15803205789125183,0.20455775187619174,100,20.416051708745584,54.66357980137948,58.92472328224535
0.8,1200,orientation,0.5,angle,1,100,100,48,0.48,0.049959983987187186,100,0.17967218478985114,0.12066432411641298,0.15803205789125183,0.20455775187619174,100,20.416051708745584,54.66357980137948,58.92472328224535
0.8,1200,orientation,0.5,shape,1,100,100,66,0.66,0.04737087712930804,100,0.17967218478985114,0.12066432411641298,0.15803205789125183,0.20455775187619174,100,20.416051708745584,54.66357980137948,58.92472328224535
0.8,1200,orientation,1.0,delta,1,100,100,46,0.46,0.04983974317750845,100,0.2147035456547994,0.14211176838741568,0.1862243038944614,0.23389705668897154,100,15.342280921226251,20.012416117356423,49.893953954630256
0.8,1200,orientation,1.0,angle,1,100,100,81,0.81,0.03923009049186606,100,0.2147035456547994,0.14211176838741568,0.1862243038944614,0.23389705668897154,100,15.342280921226251,20.012416117356423,49.893953954630256
0.8,1200,orientation,1.0,shape,1,100,100,69,0.69,0.04624932431938871,100,0.2147035456547994,0.14211176838741568,0.1862243038944614,0.23389705668897154,100,15.342280921226251,20.012416117356423,49.893953954630256
