generator.baseline_continuity,generator.n_samples,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv
0.5,600,power_design,False,translation,0.5,angle,1,100,100,0,0.0,0.0,100,0.18352175598740822,0.1631065517252796,0.18423828201214484,0.21166348550082664,100,5.451049339537686,13.29921117628701,17.115829545387587,100,3.0,2,4
0.5,600,power_design,False,translation,0.5,shape,1,100,100,1,0.01,0.0099498743710662,100,0.18352175598740822,0.1631065517252796,0.18423828201214484,0.21166348550082664,100,5.451049339537686,13.29921117628701,17.115829545387587,100,3.0,2,4
0.5,600,power_design,False,translation,1.0,delta,1,100,100,7,0.07,0.02551470164434615,100,0.1913741138878738,0.16681239635358625,0.192809477903636,0.2237724623340966,100,4.369958929363558,11.35600472875598,7.801868439144811,100,3.0,2,4
0.5,600,power_design,False,translation,1.0,angle,1,100,100,2,0.02,0.014,100,0.1913741138878738,0.16681239635358625,0.192809477903636,0.2237724623340966,100,4.369958929363558,11.35600472875598,7.801868439144811,100,3.0,2,4
0.5,600,power_design,False,translation,1.0,shape,1,100,100,8,0.08,0.027129319932501072,100,0.1913741138878738,0.16681239635358625,0.192809477903636,0.2237724623340966,100,4.369958929363558,11.35600472875598,7.801868439144811,100,3.0,2,4
0.5,1200,power_design,False,none,0.0,delta,1,100,100,5,0.05,0.021794494717703367,100,0.19797493210800352,0.17404346689407257,0.19798667377561033,0.22623184245067635,100,2.1771679430783673,3.6091192401791297,16.852014554634344,100,3.0,2,4
0.5,1200,power_design,False,none,0.0,angle,1,100,100,2,0.02,0.014,100,0.19797493210800352,0.17404346689407257,0.19798667377561033,0.22623184245067635,100,2.1771679430783673,3.6091192401791297,16.852014554634344,100,3.0,2,4
0.5,1200,power_design,False,none,0.0,shape,1,100,100,2,0.02,0.014,100,0.19797493210800352,0.17404346689407257,0.19798667377561033,0.22623184245067635,100,2.1771679430783673,3.6091192401791297,16.852014554634344,100,3.0,2,4
0.5,1200,power_design,False,orientation,0.25,delta,1,100,100,65,0.65,0.047696960070847276,100,0.19515817492268034,0.16511111048883104,0.19591334312465572,0.23147889930177173,100,2.967368370299467,9.588988051916047,7.667959029417258,100,3.0,2,4
0.5,1200,power_design,False,orientation,0.25,angle,1,100,100,71,0.71,0.04537620521815371,100,0.19515817492268034,0.16511111048883104,0.19591334312465572,0.23147889930177173,100,2.967368370299467,9.588988051916047,7.667959029417258,100,3.0,2,4
0.5,1200,power_design,False,orientation,0.25,shape,1,100,100,89,0.89,0.031288975694324025,100,0.19515817492268034,0.16511111048883104,0.19591334312465572,0.23147889930177173,100,2.967368370299467,9.588988051916047,7.667959029417258,100,3.0,2,4
0.5,1200,power_design,False,orientation,0.5,delta,1,100,100,65,0.65,0.047696960070847276,100,0.18254039362285435,0.1540006916281242,0.17796764572748824,0.20707306208705079,100,10.302737860523404,11.129592985147614,13.468961263254595,100,4.0,3,4
0.5,1200,power_design,False,orientation,0.5,angle,1,100,100,70,0.7,0.045825756949558406,100,0.18254039362285435,0.1540006916281242,0.17796764572748824,0.20707306208705079,100,10.302737860523404,11.129592985147614,13.468961263254595,100,4.0,3,4
