trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,1.0,power_design-26bc8ff36ec4,power_design,shape,0,3,0.0040253018404993735,0.030715267614569886,0.01958563269880281,34,34,21,0.6176470588235294,0.08334181380283408,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,shape,1,3,0.03132100656099268,0.05907919355132296,0.04275726409114739,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,shape,2,3,0.060680805180337694,0.12824708450011968,0.08136076947370972,33,33,19,0.5757575757575758,0.08603395906609154,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,angle,0,3,0.003973595975445998,0.03070723132333325,0.019597078999407675,34,34,20,0.5882352941176471,0.08440353576228697,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,angle,1,3,0.031416794305448914,0.0589920258893723,0.042776242575686976,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,angle,2,3,0.06061456899470957,0.12838728605392596,0.08137671033937666,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,delta,0,3,0.003973595975445998,0.03070723132333325,0.019597078999407675,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,delta,1,3,0.031416794305448914,0.0589920258893723,0.042776242575686976,33,33,17,0.5151515151515151,0.08699885606851798,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,delta,2,3,0.06061456899470957,0.12838728605392596,0.08137671033937666,33,33,11,0.3333333333333333,0.08206099398622183,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,shape,0,3,0.003973595975445998,0.03070723132333325,0.019597078999407675,34,34,21,0.6176470588235294,0.08334181380283408,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,shape,1,3,0.031416794305448914,0.0589920258893723,0.042776242575686976,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,1.0,power_design-42a3d3f3d400,power_design,shape,2,3,0.06061456899470957,0.12838728605392596,0.08137671033937666,33,33,19,0.5757575757575758,0.08603395906609154,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,angle,0,3,0.0035732785899598163,0.030741576467093357,0.0195424370873238,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,angle,1,3,0.03145677128007984,0.05916949787008435,0.042835098413757544,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,angle,2,3,0.06073259570963274,0.12843603000915454,0.08141626412632225,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,delta,0,3,0.0035732785899598163,0.030741576467093357,0.0195424370873238,34,34,22,0.6470588235294118,0.08195653482579246,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,delta,1,3,0.03145677128007984,0.05916949787008435,0.042835098413757544,33,33,18,0.5454545454545454,0.08667841720414475,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,delta,2,3,0.06073259570963274,0.12843603000915454,0.08141626412632225,33,33,13,0.3939393939393939,0.08505811700208933,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,shape,0,3,0.0035732785899598163,0.030741576467093357,0.0195424370873238,34,34,26,0.7647058823529411,0.07274669910598146,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,shape,1,3,0.03145677128007984,0.05916949787008435,0.042835098413757544,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,1.0,power_design-5b1afa09d6e1,power_design,shape,2,3,0.06073259570963274,0.12843603000915454,0.08141626412632225,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,1.0,power_design-6936169acc4b,power_design,angle,0,3,0.008564508230518297,0.03612698799497899,0.023786236568761037,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,1.0,power_design-6936169acc4b,power_design,angle,1,3,0.036376477280650854,0.06202192030710091,0.047635805168885104,33,33,30,0.9090909090909091,0.05004380750574367,ok
