evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
4.0,power_design,False,shape,1.0,delta,1,100,100,78,0.78,0.04142463035441595,100,0.06049513329621013,0.04346485353138674,0.05428235561893621,0.07025658820076608,100,9.450082130945388,4.547846966790692,32.597207872151834,100,4.0,4,4,forced
4.0,power_design,False,shape,1.0,angle,1,100,100,68,0.68,0.0466476151587624,100,0.06049513329621013,0.04346485353138674,0.05428235561893621,0.07025658820076608,100,9.450082130945388,4.547846966790692,32.597207872151834,100,4.0,4,4,forced
4.0,power_design,False,shape,1.0,shape,1,100,100,95,0.95,0.021794494717703377,100,0.06049513329621013,0.04346485353138674,0.05428235561893621,0.07025658820076608,100,9.450082130945388,4.547846966790692,32.597207872151834,100,4.0,4,4,forced
4.0,power_design,False,translation,0.25,delta,1,100,100,0,0.0,0.0,100,0.050588455243687595,0.036784713244292944,0.047089209000161475,0.059463360490842776,100,10.722075432271806,5.945576603382472,41.76046177848814,100,4.0,4,4,forced
4.0,power_design,False,translation,0.25,angle,1,100,100,4,0.04,0.019595917942265423,100,0.050588455243687595,0.036784713244292944,0.047089209000161475,0.059463360490842776,100,10.722075432271806,5.945576603382472,41.76046177848814,100,4.0,4,4,forced
4.0,power_design,False,translation,0.25,shape,1,100,100,0,0.0,0.0,100,0.050588455243687595,0.036784713244292944,0.047089209000161475,0.059463360490842776,100,10.722075432271806,5.945576603382472,41.76046177848814,100,4.0,4,4,forced
4.0,power_design,False,translation,0.5,delta,1,100,100,1,0.01,0.0099498743710662,100,0.050253000208815894,0.03568600909602665,0.048204936800475356,0.05688890795279877,100,10.27411158263115,4.100444772249563,41.91263499070551,100,4.0,4,4,forced
4.0,power_design,False,translation,0.5,angle,1,100,100,2,0.02,0.014,100,0.050253000208815894,0.03568600909602665,0.048204936800475356,0.05688890795279877,100,10.27411158263115,4.100444772249563,41.91263499070551,100,4.0,4,4,forced
4.0,power_design,False,translation,0.5,shape,1,100,100,0,0.0,0.0,100,0.050253000208815894,0.03568600909602665,0.048204936800475356,0.05688890795279877,100,10.27411158263115,4.100444772249563,41.91263499070551,100,4.0,4,4,forced
4.0,power_design,False,translation,1.0,delta,1,100,100,2,0.02,0.014,100,0.050536897621959016,0.0358794392003402,0.04669286306568063,0.05787884606803129,100,9.698579249952324,4.497214922340023,46.15638287461605,100,4.0,4,4,forced
4.0,power_design,False,translation,1.0,angle,1,100,100,4,0.04,0.019595917942265423,100,0.050536897621959016,0.0358794392003402,0.04669286306568063,0.05787884606803129,100,9.698579249952324,4.497214922340023,46.15638287461605,100,4.0,4,4,forced
4.0,power_design,False,translation,1.0,shape,1,100,100,1,0.01,0.0099498743710662,100,0.050536897621959016,0.0358794392003402,0.04669286306568063,0.05787884606803129,100,9.698579249952324,4.497214922340023,46.15638287461605,100,4.0,4,4,forced
6.0,power_design,False,magnitude,0.25,delta,1,100,100,100,1.0,0.0,100,0.048854460649806114,0.034401442240397706,0.04534628009904268,0.05470185225307994,100,10.675555365002094,5.362528703650948,49.30881562020111,100,6.0,6,6,forced
6.0,power_design,False,magnitude,0.25,angle,1,100,100,5,0.05,0.021794494717703367,100,0.048854460649806114,0.034401442240397706,0.04534628009904268,0.05470185225307994,100,10.675555365002094,5.362528703650948,49.30881562020111,100,6.0,6,6,forced
6.0,power_design,False,magnitude,0.25,shape,1,100,100,14,0.14,0.03469870314579494,100,0.048854460649806114,0.034401442240397706,0.04534628009904268,0.05470185225307994,100,10.675555365002094,5.362528703650948,49.30881562020111,100,6.0,6,6,forced
6.0,power_design,False,magnitude,0.5,delta,1,100,100,100,1.0,0.0,100,0.048690287036319745,0.034232476534042044,0.044292309968977234,0.055185422644651316,100,11.307786864102884,6.886330241004815,52.90938479174196,100,6.0,6,6,forced
6.0,power_design,False,magnitude,0.5,angle,1,100,100,25,0.25,0.04330127018922193,100,0.048690287036319745,0.034232476534042044,0.044292309968977234,0.055185422644651316,100,11.307786864102884,6.886330241004815,52.90938479174196,100,6.0,6,6,forced
6.0,power_design,False,magnitude,0.5,shape,1,100,100,40,0.4,0.04898979485566356,100,0.048690287036319745,0.034232476534042044,0.044292309968977234,0.055185422644651316,100,11.307786864102884,6.886330241004815,52.90938479174196,100,6.0,6,6,forced
