trajectory_mode,effect_size,checkpoint,measurement_space,scope,is_joint,statistic,median,mean,sd,n_available,anchor_median,excess_over_anchor
magnitude,1.0,observed_standardized,standardized_feature,proteomics,False,delta,0.10312647804323305,0.1206825947219556,0.09069701477612568,500,0.1116933393253774,-0.008566861282144345
magnitude,0.25,observed_standardized,standardized_feature,joint,True,delta,6.365588980420483,6.361404658903104,0.3926495531964786,500,0.1422965322672738,6.2232924481532095
magnitude,0.5,observed_standardized,standardized_feature,joint,True,delta,11.67874556534214,11.686039296360953,0.6333710621631169,500,0.1422965322672738,11.536449033074867
magnitude,0.75,observed_standardized,standardized_feature,joint,True,delta,15.994471180397646,15.994511817639014,0.8383827693182613,500,0.1422965322672738,15.852174648130372
magnitude,1.0,observed_standardized,standardized_feature,joint,True,delta,19.42624540531976,19.429802219294146,1.0042602233347995,500,0.1422965322672738,19.283948873052488
magnitude,0.25,pls_latent,pls_latent,joint,True,delta,6.35467458076576,6.275643946709862,0.5518770170651675,500,0.1410650641549509,6.213609516610809
magnitude,0.5,pls_latent,pls_latent,joint,True,delta,11.712337162769565,11.578750903952665,0.9225645529903418,500,0.1410650641549509,11.571272098614614
magnitude,0.75,pls_latent,pls_latent,joint,True,delta,16.10592585043983,15.912519642100838,1.2425277833160069,500,0.1410650641549509,15.96486078628488
magnitude,1.0,pls_latent,pls_latent,joint,True,delta,19.63650898111815,19.428141192102977,1.4950541782708888,500,0.1410650641549509,19.4954439169632
magnitude,0.25,population_native,native_omic_units,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.5,population_native,native_omic_units,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.75,population_native,native_omic_units,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,1.0,population_native,native_omic_units,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.25,population_native,native_omic_units,methylation,False,delta,12.153048940009413,12.147099106532421,0.4854225878111974,500,0.0,12.153048940009413
magnitude,0.5,population_native,native_omic_units,methylation,False,delta,24.306097880018825,24.29419821306485,0.9708451756223938,500,0.0,24.306097880018825
magnitude,0.75,population_native,native_omic_units,methylation,False,delta,36.459146820028245,36.44129731959728,1.456267763433592,500,0.0,36.459146820028245
magnitude,1.0,population_native,native_omic_units,methylation,False,delta,48.61219576003766,48.58839642612972,1.9416903512447894,500,0.0,48.61219576003766
magnitude,0.25,population_native,native_omic_units,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.5,population_native,native_omic_units,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.75,population_native,native_omic_units,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,1.0,population_native,native_omic_units,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.25,population_standardized,standardized_feature,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.5,population_standardized,standardized_feature,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.75,population_standardized,standardized_feature,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,1.0,population_standardized,standardized_feature,expression,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.25,population_standardized,standardized_feature,methylation,False,delta,9.914793446423445,9.918701489241785,0.40008925278171475,500,0.0,9.914793446423445
magnitude,0.5,population_standardized,standardized_feature,methylation,False,delta,18.13648696284896,18.128326554213583,0.7267976878947224,500,0.0,18.13648696284896
magnitude,0.75,population_standardized,standardized_feature,methylation,False,delta,24.847266601654095,24.845396888679254,0.9915589163844201,500,0.0,24.847266601654095
magnitude,1.0,population_standardized,standardized_feature,methylation,False,delta,30.32995266724869,30.335125931158498,1.2066373811147653,500,0.0,30.32995266724869
magnitude,0.25,population_standardized,standardized_feature,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.5,population_standardized,standardized_feature,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,0.75,population_standardized,standardized_feature,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
magnitude,1.0,population_standardized,standardized_feature,proteomics,False,delta,0.0,0.0,0.0,500,0.0,0.0
